Date,Open,High,Low,Close,Adj Close,Volume
2021-12-29,4788.64013671875,4804.06005859375,4778.080078125,4793.06005859375,4793.06005859375,2963310000
2021-12-30,4794.22998046875,4808.93017578125,4775.330078125,4778.72998046875,4778.72998046875,3124950000
2021-12-31,4775.2099609375,4786.830078125,4765.75,4766.18017578125,4766.18017578125,2677820000
2022-01-03,4778.14013671875,4796.64013671875,4758.169921875,4796.56005859375,4796.56005859375,3831020000
2022-01-04,4804.509765625,4818.6201171875,4774.27001953125,4793.5400390625,4793.5400390625,4683170000
2022-01-05,4787.990234375,4797.7001953125,4699.43994140625,4700.580078125,4700.580078125,4887960000
2022-01-06,4693.39013671875,4725.009765625,4671.259765625,4696.0498046875,4696.0498046875,4295280000
2022-01-07,4697.66015625,4707.9501953125,4662.740234375,4677.02978515625,4677.02978515625,4181510000
2022-01-10,4655.33984375,4673.02001953125,4582.240234375,4670.2900390625,4670.2900390625,4511810000
2022-01-11,4669.14013671875,4714.1298828125,4638.27001953125,4713.06982421875,4713.06982421875,4101590000
2022-01-12,4728.58984375,4748.830078125,4706.7099609375,4726.35009765625,4726.35009765625,4048220000
2022-01-13,4733.56005859375,4744.1298828125,4650.2900390625,4659.02978515625,4659.02978515625,4251730000
2022-01-14,4637.990234375,4665.1298828125,4614.75,4662.85009765625,4662.85009765625,4338490000
2022-01-18,4632.240234375,4632.240234375,4568.7001953125,4577.10986328125,4577.10986328125,4748700000
2022-01-19,4588.02978515625,4611.5498046875,4530.2001953125,4532.759765625,4532.759765625,4465740000
2022-01-20,4547.35009765625,4602.10986328125,4477.9501953125,4482.72998046875,4482.72998046875,4640870000
2022-01-21,4471.3798828125,4494.52001953125,4395.33984375,4397.93994140625,4397.93994140625,5589100000
2022-01-24,4356.31982421875,4417.35009765625,4222.6201171875,4410.1298828125,4410.1298828125,6928110000
2022-01-25,4366.64013671875,4411.009765625,4287.10986328125,4356.4501953125,4356.4501953125,5145050000
2022-01-26,4408.43017578125,4453.22998046875,4304.7998046875,4349.93017578125,4349.93017578125,5570640000
2022-01-27,4380.580078125,4428.740234375,4309.5,4326.509765625,4326.509765625,5214200000
2022-01-28,4336.18994140625,4432.72021484375,4292.4599609375,4431.85009765625,4431.85009765625,5031090000
2022-01-31,4431.7900390625,4516.89013671875,4414.02001953125,4515.5498046875,4515.5498046875,5098610000
2022-02-01,4519.56982421875,4550.490234375,4483.52978515625,4546.5400390625,4546.5400390625,4816830000
2022-02-02,4566.39013671875,4595.31005859375,4544.31982421875,4589.3798828125,4589.3798828125,4481580000
2022-02-03,4535.41015625,4542.8798828125,4470.39013671875,4477.43994140625,4477.43994140625,4401970000
2022-02-04,4482.7900390625,4539.66015625,4451.5,4500.52978515625,4500.52978515625,4706290000
2022-02-07,4505.75,4521.85986328125,4471.47021484375,4483.8701171875,4483.8701171875,4228480000
2022-02-08,4480.02001953125,4531.31982421875,4465.39990234375,4521.5400390625,4521.5400390625,4459620000
2022-02-09,4547.0,4590.02978515625,4547.0,4587.18017578125,4587.18017578125,4524350000
2022-02-10,4553.240234375,4588.919921875,4484.31005859375,4504.080078125,4504.080078125,5314860000
2022-02-11,4506.27001953125,4526.330078125,4401.41015625,4418.64013671875,4418.64013671875,5251500000
2022-02-14,4412.60986328125,4426.22021484375,4364.83984375,4401.669921875,4401.669921875,4600390000
2022-02-15,4429.27978515625,4472.77001953125,4429.27978515625,4471.06982421875,4471.06982421875,4430830000
2022-02-16,4455.75,4489.5498046875,4429.68017578125,4475.009765625,4475.009765625,4283640000
2022-02-17,4456.06005859375,4456.06005859375,4373.81005859375,4380.259765625,4380.259765625,4539420000
2022-02-18,4384.56982421875,4394.60009765625,4327.22021484375,4348.8701171875,4348.8701171875,4708060000
2022-02-22,4332.740234375,4362.1201171875,4267.10986328125,4304.759765625,4304.759765625,5121900000
2022-02-23,4324.93017578125,4341.509765625,4221.509765625,4225.5,4225.5,4797430000
2022-02-24,4155.77001953125,4294.72998046875,4114.64990234375,4288.7001953125,4288.7001953125,6752130000
2022-02-25,4298.3798828125,4385.33984375,4286.830078125,4384.64990234375,4384.64990234375,5177060000
2022-02-28,4354.169921875,4388.83984375,4315.1201171875,4373.93994140625,4373.93994140625,6071370000
2022-03-01,4363.14013671875,4378.4501953125,4279.5400390625,4306.259765625,4306.259765625,5846230000
2022-03-02,4322.56005859375,4401.47998046875,4322.56005859375,4386.5400390625,4386.5400390625,5337870000
2022-03-03,4401.31005859375,4416.77978515625,4345.56005859375,4363.490234375,4363.490234375,5039890000
2022-03-04,4342.1201171875,4342.1201171875,4284.97998046875,4328.8701171875,4328.8701171875,5797380000
2022-03-07,4327.009765625,4327.009765625,4199.85009765625,4201.08984375,4201.08984375,6940470000
2022-03-08,4202.66015625,4276.93994140625,4157.8701171875,4170.7001953125,4170.7001953125,7243120000
2022-03-09,4223.10009765625,4299.39990234375,4223.10009765625,4277.8798828125,4277.8798828125,5662670000
2022-03-10,4252.5498046875,4268.27978515625,4209.7998046875,4259.52001953125,4259.52001953125,4980830000
2022-03-11,4279.5,4291.009765625,4200.490234375,4204.31005859375,4204.31005859375,4938640000
2022-03-14,4202.75,4247.56982421875,4161.72021484375,4173.10986328125,4173.10986328125,5574920000
2022-03-15,4188.81982421875,4271.0498046875,4187.89990234375,4262.4501953125,4262.4501953125,5392470000
2022-03-16,4288.14013671875,4358.89990234375,4251.990234375,4357.85986328125,4357.85986328125,6309750000
2022-03-17,4345.10986328125,4412.669921875,4335.64990234375,4411.669921875,4411.669921875,4985090000
2022-03-18,4407.33984375,4465.39990234375,4390.56982421875,4463.1201171875,4463.1201171875,8278430000
2022-03-21,4462.39990234375,4481.75,4424.2998046875,4461.18017578125,4461.18017578125,4869820000
2022-03-22,4469.10009765625,4522.0,4469.10009765625,4511.60986328125,4511.60986328125,4754840000
2022-03-23,4493.10009765625,4501.06982421875,4455.81005859375,4456.240234375,4456.240234375,4550670000
2022-03-24,4469.97998046875,4520.580078125,4465.169921875,4520.16015625,4520.16015625,4131390000
2022-03-25,4522.91015625,4546.02978515625,4501.06982421875,4543.06005859375,4543.06005859375,4305020000
2022-03-28,4541.08984375,4575.64990234375,4517.68994140625,4575.52001953125,4575.52001953125,4312260000
2022-03-29,4602.85986328125,4637.2998046875,4589.66015625,4631.60009765625,4631.60009765625,5085910000
2022-03-30,4624.2001953125,4627.77001953125,4581.31982421875,4602.4501953125,4602.4501953125,4385570000
2022-03-31,4599.02001953125,4603.06982421875,4530.41015625,4530.41015625,4530.41015625,4823020000
2022-04-01,4540.31982421875,4548.7001953125,4507.56982421875,4545.85986328125,4545.85986328125,4562940000
2022-04-04,4547.97021484375,4583.5,4539.2099609375,4582.64013671875,4582.64013671875,4547350000
2022-04-05,4572.4501953125,4593.4501953125,4514.169921875,4525.1201171875,4525.1201171875,4800620000
2022-04-06,4494.169921875,4503.93994140625,4450.0400390625,4481.14990234375,4481.14990234375,4986830000
2022-04-07,4474.64990234375,4521.16015625,4450.2998046875,4500.2099609375,4500.2099609375,4821490000
2022-04-08,4494.14990234375,4520.41015625,4474.60009765625,4488.27978515625,4488.27978515625,4083200000
